क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
92	ह्री		लज्जायाम्	ह्री	ह्रीतः/ह्रीणः	ह्रीतवान्/ह्रीणवान्	ह्रीत्वा	प्रह्रीय	ह्रेतुम्	ह्रेतव्यम्	ह्रेता	ह्रेष्यति		ह्रायकः	ह्रायः	ह्रेयम्	ह्रयणीयम्	ह्रयणम्	
93	प्रीङ्		प्रीतौ	प्री	प्रीणः	प्रीणवान्	प्रीत्वा	निप्रीय	प्रेतुम्	प्रेतव्यम्	प्रेता		प्रेष्यते	प्रायकः	प्रायः	प्रेयम्	प्रयणीयम्	प्रयणम्	
94	रीङ्		स्रवणे	री	रीणः	रीणवान्	रीत्वा	विरीय	रेतुम्	रेतव्यम्	रेता	रेष्यति		रायकः	रायः	रेयम्	रयणीयम्	रयणम्	
95	री		गतिरेषणयोः	री	रीणः	रीणवान्	रीत्वा	निरीय	रेतुम्	रेतव्यम्	रेता		रेष्यते	रायकः	रयः	रेयम्	रयणीयम्	रयणम्	
96	व्रीङ्		वृणोत्यर्थे	व्री	व्रीणः	व्रीणवान्	व्रीत्वा	प्रव्रीय	व्रेतुम्	व्रेतव्यम्	व्रेता		व्रेष्यते	व्रायकः	व्रयः	व्रेयम्	व्रयणीयम्	व्रयणम्	
97	व्री		वरणे	व्री	व्रीणः	व्रीणवान्	व्रीत्वा	प्रव्रीय	व्रेतुम्	व्रेतव्यम्	व्रेता	व्रेष्यति		व्रायकः	व्रयः	व्रेयम्	व्रयणीयम्	व्रयणम्	
98	भ्री		भये	भ्री	भ्रीणः	भ्रीणवान्	भ्रीत्वा	प्रभ्रीय	भ्रेतुम्	भ्रेतव्यम्	भ्रेता	भ्रेष्यति		भ्रायकः	भ्रयः	भ्रेयम्	भ्रयणीयम्	भ्रयणम्	
99	पीङ्		पाने	पी	पीनः	पीनवान्	पीत्वा	निपीय	पेतुम्	पेतव्यम्	पेता		पेष्यते	पायकः	पयः	पेयम्	पयनीयम्	पयनम्	
100	ईङ्		गतौ	ई	ईनः	ईनवान्	ईत्वा	प्रेत्य	एतुम्	एतव्यम्	एता		एष्यते	आयकः	अयः	एयम्	अयनीयम्	अयनम्	
101	शीङ्		स्वप्ने	शी	शयितः	शयितवान्	शयित्वा	विशय्य	शयितुम्	शयितव्यम्	शयिता		शयिष्यते	शायकः	शयः	शेयम्	शयनीयम्	शयनम्	
102	णीञ्		प्रापणे	नी	नीतः	नीतवान्	नीत्वा	विनीय	नेतुम्	नेतव्यम्	नेता	नेष्यति	नेष्यते	नायकः	नयः	नेयम्	नयनीयम्	नयनम्	
103	दीङ्		क्षये	दी	दीनः	दीनवान्	दीत्वा	उपदाय	दातुम्	दातव्यम्	दाता		दास्यते	दायकः	दायः	देयम्	दानीयम्	दानम्	
104	मीङ्		हिंसायाम्	मी	मीनः	मीनवान्	मीत्वा	निमाय	मेतुम्	मेतव्यम्	मेता		मेष्यते	मायकः	मयः	मेयम्	मयनीयम्	मयनम्	
105	धीङ्		आधारे	धी	धीनः	धीनवान्	धीत्वा	निधीय	धेतुम्	धेतव्यम्	धेता		धेष्यते	धायकः	धयः	धेयम्	धयनीयम्	धयनम्	
106	डीङ्		विहायसा गतौ	डी	डीनः	डीनवान्	डीत्वा	उड्डीय	डेतुम्	डेतव्यम्	डयिता		डयिष्यते	डायकः	डयः	डेयम्	डयनीयम्	डयनम्	
107	डीङ्		विहायसा गतौ	डी	डयितः	डयितवान्	डयित्वा	उड्डीय	डयितुम्	डयितव्यम्	डयिता		डयिष्यते	डायकः	डयः	डेयम्	डयनीयम्	डयनम्	
108	व्ली		वरणे	व्ली	व्लीनः	व्लीनवान्	व्लीत्वा	विव्लीय	व्लेतुम्	व्लेतव्यम्	व्लेता	व्लेष्यति		व्लायकः	व्लयः	व्लेयम्	व्लयनीयम्	व्लयनम्	
109	प्ली		गतौ	प्ली	प्लीनः	प्लीनवान्	प्लीत्वा	विप्लीय	प्लेतुम्	प्लेतव्यम्	प्लेता	प्लेष्यति		प्लायकः	प्लायः	प्लेयम्	प्लयनीयम्	प्लयनम्	
110	लीङ्		श्लेषणे	ली	लीनः	लीनवान्	लीत्वा	विलीय/विलाय	लेतुम्/लातुम्	लेतव्यम्/लातव्यम्	लेता/लाता		लेष्यते/लास्यते	लायकः	लयः	लेयम्	लयनीयम्	लयनम्	
111	ली		श्लेषणे	ली	लीनः	लीनवान्	लीत्वा	विलीय	लेतुम्	लेतव्यम्	लेता	लेष्यति		लायकः	लयः	लेयम्	लयनीयम्	लयनम्	
112	वी		गति-व्याप्ति-प्रजन-कान्त्यसन-खादनेषु	वी	वीतः	वीतवान्	वीत्वा	प्रवीय	वेतुम्	वेतव्यम्	वेता	वेष्यति		वायकः	वयः	वेयम्	वयनीयम्	वयनम्	
