नाम	अक्षराणि	पादेऽक्षराणि	मात्रा-विन्यासः	प्रसिद्धिः	स्मरण-सुलभता	यतिः	मात्राः	लक्षणम्	लक्षणमूलम्	उदाहरणम्	टिप्पणिः	जातयः	गणविन्यासः	गानम्	भाव-रसौचित्यम्
तावुरि	16	4	दा दा द द				6		आनन्दमिश्र-जालक्षेत्रम्						
दोला	16	4	द द दा दा				6		आनन्दमिश्र-जालक्षेत्रम्						
धरा	16	4	दा दा द दा				7		आनन्दमिश्र-जालक्षेत्रम्						
धारि	16	4	दा द दा द				6		आनन्दमिश्र-जालक्षेत्रम्						
नन्दः	16	4	दा द दा दा				7		आनन्दमिश्र-जालक्षेत्रम्						
पटु	16	4	द द द द				4		आनन्दमिश्र-जालक्षेत्रम्						
मुग्धम्	16	4	दा दा दा द				7		आनन्दमिश्र-जालक्षेत्रम्						
वला	16	4	दा द द दा				6		आनन्दमिश्र-जालक्षेत्रम्						
वारि	16	4	द दा दा द				6		आनन्दमिश्र-जालक्षेत्रम्						
सती	16	4	द द द दा				5		आनन्दमिश्र-जालक्षेत्रम्						
कणिका	20	5	दा दा द द दा				8		आनन्दमिश्र-जालक्षेत्रम्						
कण्ठी	20	5	द दा द दा दा				8		आनन्दमिश्र-जालक्षेत्रम्						
कललि	20	5	द द द दा दा				7		आनन्दमिश्र-जालक्षेत्रम्						
कल्कि	20	5	दा द दा द द				7		आनन्दमिश्र-जालक्षेत्रम्						
किञ्जल्कि	20	5	दा दा द दा द				8		आनन्दमिश्र-जालक्षेत्रम्						
कुम्भारि	20	5	दा दा दा दा द				9		आनन्दमिश्र-जालक्षेत्रम्						
क्षुत्	20	5	दा द द द द				6		आनन्दमिश्र-जालक्षेत्रम्						
क्षुपम्	20	5	द दा द द द				6		आनन्दमिश्र-जालक्षेत्रम्						
छिद्रम्	20	5	दा दा द द द				7		आनन्दमिश्र-जालक्षेत्रम्						
जतु	20	5	द द दा द द				6		आनन्दमिश्र-जालक्षेत्रम्						
नरी	20	5	द दा दा द दा				8		आनन्दमिश्र-जालक्षेत्रम्						
नाली	20	5	द दा दा दा दा				9		आनन्दमिश्र-जालक्षेत्रम्						
पालि	20	5	द द दा दा द				7		आनन्दमिश्र-जालक्षेत्रम्						
पांशु	20	5	द द द दा द				6		आनन्दमिश्र-जालक्षेत्रम्						
प्रगुणम्	20	5	द द दा दा दा				8		आनन्दमिश्र-जालक्षेत्रम्						
प्रिया	20	5	द द दा द दा				7		आनन्दमिश्र-जालक्षेत्रम्						
भ्रूः	20	5	द दा दा दा द				8		आनन्दमिश्र-जालक्षेत्रम्						
मण्डलम्	20	5	दा द द द दा				7		आनन्दमिश्र-जालक्षेत्रम्						
